document,directory,case,case label
burwell v hobby lobby amicus 38 protestent theologians.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus american center for law and justice.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus american jewish committee.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus association of gospel rescue missions.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus brennan center for justice.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus c21 group.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus california et al.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus center for inquiry.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus christian legal society.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus church state scholars frederick mark gedicks.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus constitutional accountability center.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus david boyle.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus family research council.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus freedom x.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus independent women_s forum.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus international conference of evangelical chaplain endorsers.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus judicial education project.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus judicial watch.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus lambda legal defense and education fund.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus liberty institute.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus liberty life and law foundation.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus members of congress.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus national health law program.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus national jewish commission.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus ovarian cancer national alliance 2.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus ovarian cancer national alliance.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus physicians for reproductive health.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus senators cruz et al.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus senators murray et al.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus us womens chamber of commerce.txt,Amici,Burwell v. Hobby Lobby,0
burwell v hobby lobby amicus womens public policy groups.txt,Amici,Burwell v. Hobby Lobby,0
california v texas amicus 36 state hospital associations.txt,Amici,California v. Texas,1
california v texas amicus 44 counties cities and towns.txt,Amici,California v. Texas,1
california v texas amicus 47 members of the senate.txt,Amici,California v. Texas,1
california v texas amicus aarp 2.txt,Amici,California v. Texas,1
