embedding_model,model_type,model_name,roc_auc_1,roc_auc_2,roc_auc_3,roc_auc_4,roc_auc_5,roc_auc_6,mean_roc_auc,std_roc_auc
bert-base,outlier,COPOD,0.967741935483871,0.8064516129032258,1.0,1.0,0.7741935483870968,1.0,0.924731182795699,0.10535439753906144
bert-base,outlier,LOF,1.0,0.6774193548387097,1.0,0.935483870967742,0.5806451612903225,0.9,0.8489247311827958,0.17727755819508434
bert-base,outlier,OCSVM,0.4193548387096774,0.4516129032258065,0.7096774193548387,0.967741935483871,0.935483870967742,0.9666666666666667,0.7417562724014336,0.25625748759772443
bert-base,outlier,IForest,0.9032258064516129,0.7096774193548387,1.0,0.967741935483871,0.8064516129032258,1.0,0.8978494623655914,0.11793694265115065
bert-base,outlier,DIF,1.0,0.8064516129032258,1.0,1.0,0.4838709677419355,0.9666666666666667,0.8761648745519715,0.20637365986488979
bert-base,outlier,INNE,1.0,0.6451612903225806,1.0,0.967741935483871,0.7419354838709677,1.0,0.8924731182795699,0.15759200826289257
bert-base,outlier,AutoEncoder,0.12903225806451613,0.3548387096774194,0.8709677419354839,0.935483870967742,0.6129032258064516,0.16666666666666663,0.5116487455197133,0.3489974851113126
bert-base,classifier,Nearest Neighbors,1.0,0.935483870967742,0.967741935483871,0.9677419354838709,0.8064516129032258,0.8666666666666667,0.9240143369175629,0.07326571683814329
bert-base,classifier,Random Forest,0.7741935483870968,1.0,0.967741935483871,0.5967741935483871,0.9032258064516128,0.7999999999999999,0.8403225806451613,0.1489994378049161
bert-base,classifier,AdaBoost,1.0,1.0,0.967741935483871,0.6129032258064516,0.8064516129032258,0.8,0.8645161290322579,0.15375968113307076
bert-base,classifier,Logistic Regression,1.0,1.0,0.967741935483871,0.9032258064516129,0.8387096774193549,0.9666666666666667,0.946057347670251,0.06336031579835756
bert-base,classifier,Neural Network,1.0,1.0,0.967741935483871,0.967741935483871,0.967741935483871,0.9666666666666667,0.97831541218638,0.016801971302271273
bert-large,outlier,COPOD,0.967741935483871,0.935483870967742,1.0,0.967741935483871,0.6129032258064516,1.0,0.913978494623656,0.14945849766790584
bert-large,outlier,LOF,0.8064516129032258,1.0,1.0,0.8387096774193549,0.6129032258064516,0.9666666666666667,0.87078853046595,0.1511667601380679
bert-large,outlier,OCSVM,0.7096774193548387,0.6451612903225806,1.0,0.967741935483871,0.6774193548387097,1.0,0.8333333333333334,0.1724122382027079
bert-large,outlier,IForest,0.8387096774193549,0.9032258064516129,1.0,1.0,0.8064516129032258,1.0,0.924731182795699,0.08814581304051268
bert-large,outlier,DIF,0.6774193548387097,0.967741935483871,1.0,1.0,0.5161290322580645,1.0,0.860215053763441,0.21070879507812285
bert-large,outlier,INNE,1.0,0.935483870967742,1.0,1.0,0.6774193548387097,1.0,0.935483870967742,0.1290322580645161
bert-large,outlier,AutoEncoder,0.29032258064516125,0.6451612903225806,0.7096774193548387,0.9032258064516129,0.6774193548387097,0.4666666666666667,0.6154121863799283,0.21178337685654325
bert-large,classifier,Nearest Neighbors,0.967741935483871,0.9516129032258065,0.9032258064516129,0.967741935483871,0.6935483870967742,0.8500000000000001,0.888978494623656,0.106061929304195
bert-large,classifier,Random Forest,0.967741935483871,0.7096774193548386,0.6935483870967741,0.5483870967741935,0.8870967741935484,0.38333333333333336,0.6982974910394265,0.2145101776916303
bert-large,classifier,AdaBoost,0.935483870967742,0.967741935483871,0.935483870967742,0.967741935483871,0.9032258064516129,1.0,0.9516129032258065,0.033832543489359726
bert-large,classifier,Logistic Regression,1.0,0.967741935483871,0.967741935483871,1.0,0.8709677419354839,0.8333333333333334,0.9399641577060932,0.07054424525363645
bert-large,classifier,Neural Network,1.0,1.0,0.967741935483871,1.0,1.0,1.0,0.9946236559139785,0.013169299692382666
bart-base,outlier,COPOD,1.0,0.7741935483870968,1.0,1.0,0.6451612903225806,1.0,0.903225806451613,0.1553754139199006
bart-base,outlier,LOF,0.9032258064516129,0.6774193548387097,0.7419354838709677,0.967741935483871,0.7096774193548387,0.8,0.7999999999999999,0.11432287191399579
bart-base,outlier,OCSVM,0.8387096774193549,0.5161290322580645,0.935483870967742,1.0,0.8387096774193549,1.0,0.8548387096774194,0.18104793806970687
bart-base,outlier,IForest,0.8709677419354839,0.7096774193548387,0.967741935483871,1.0,0.8064516129032258,1.0,0.8924731182795699,0.11837728124320762
bart-base,outlier,DIF,0.7419354838709677,0.32258064516129037,0.935483870967742,1.0,0.8709677419354839,0.9,0.7951612903225808,0.24680054676911858
bart-base,outlier,INNE,0.967741935483871,0.6129032258064516,1.0,0.935483870967742,0.6129032258064516,1.0,0.8548387096774194,0.18892323179801707
bart-base,outlier,AutoEncoder,1.0,0.967741935483871,0.8387096774193549,0.935483870967742,0.7741935483870968,0.4666666666666667,0.8304659498207886,0.19707851978500995
bart-base,classifier,Nearest Neighbors,0.9516129032258064,0.967741935483871,0.935483870967742,0.8548387096774194,0.9193548387096775,0.9,0.921505376344086,0.04037630829143781
bart-base,classifier,Random Forest,0.9838709677419355,0.9999999999999999,0.7258064516129032,0.5483870967741935,1.0,0.6,0.8096774193548386,0.21074171575562678
bart-base,classifier,AdaBoost,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.9944444444444445,0.01360827634879543
bart-base,classifier,Logistic Regression,1.0,1.0,0.967741935483871,0.967741935483871,1.0,1.0,0.989247311827957,0.016657992886913605
bart-base,classifier,Neural Network,1.0,1.0,0.967741935483871,0.967741935483871,1.0,1.0,0.989247311827957,0.016657992886913605
bart-large,outlier,COPOD,0.935483870967742,0.8064516129032258,1.0,1.0,0.3548387096774194,1.0,0.8494623655913979,0.2537269884516581
bart-large,outlier,LOF,0.8387096774193549,0.8064516129032258,1.0,1.0,0.4838709677419355,0.9333333333333333,0.8437275985663083,0.19379514338130588
bart-large,outlier,OCSVM,0.7419354838709677,0.8064516129032258,1.0,1.0,0.3548387096774194,1.0,0.8172043010752689,0.2529054202230888
bart-large,outlier,IForest,0.7096774193548387,0.7741935483870968,1.0,1.0,0.3548387096774194,1.0,0.8064516129032259,0.2556337129826961
bart-large,outlier,DIF,0.935483870967742,0.6129032258064516,1.0,0.967741935483871,0.12903225806451613,0.9666666666666667,0.7686379928315411,0.34454969878375563
bart-large,outlier,INNE,0.935483870967742,0.9032258064516129,1.0,0.967741935483871,0.4193548387096774,1.0,0.8709677419354839,0.22441970491517532
bart-large,outlier,AutoEncoder,0.4516129032258065,1.0,0.8387096774193549,0.5161290322580645,0.3548387096774194,0.9,0.6768817204301075,0.2685794647651114
bart-large,classifier,Nearest Neighbors,0.7741935483870968,0.7741935483870968,0.8225806451612903,0.3548387096774194,0.935483870967742,0.8666666666666666,0.7546594982078854,0.2051712274894055
bart-large,classifier,Random Forest,0.9032258064516129,0.9354838709677419,0.5483870967741935,0.16129032258064518,0.935483870967742,0.48333333333333334,0.6612007168458781,0.31727362403907383
bart-large,classifier,AdaBoost,0.967741935483871,1.0,0.7741935483870968,0.22580645161290325,1.0,0.8,0.7946236559139784,0.2960838159777402
bart-large,classifier,Logistic Regression,1.0,0.967741935483871,0.8709677419354839,0.8709677419354839,1.0,0.9666666666666667,0.946057347670251,0.059985802716450355
bart-large,classifier,Neural Network,1.0,0.967741935483871,0.935483870967742,0.8709677419354839,0.967741935483871,1.0,0.956989247311828,0.04856597759413426
gte-small,outlier,COPOD,1.0,0.5161290322580645,0.967741935483871,1.0,0.4193548387096774,1.0,0.8172043010752689,0.27270309650145996
gte-small,outlier,LOF,0.8387096774193549,0.5161290322580645,0.8387096774193549,0.9032258064516129,0.4516129032258065,0.9666666666666667,0.7525089605734768,0.21440808087281102
gte-small,outlier,OCSVM,0.935483870967742,0.7096774193548387,0.935483870967742,1.0,0.4193548387096774,1.0,0.8333333333333334,0.22938788080728165
gte-small,outlier,IForest,0.967741935483871,0.4193548387096774,1.0,0.9032258064516129,0.3870967741935484,1.0,0.7795698924731184,0.29382593519674555
gte-small,outlier,DIF,0.7096774193548387,0.3548387096774194,0.935483870967742,1.0,0.7096774193548387,1.0,0.7849462365591399,0.24959210567663062
gte-small,outlier,INNE,0.8709677419354839,0.4193548387096774,0.935483870967742,0.9032258064516129,0.32258064516129037,1.0,0.7419354838709676,0.2921091980044328
gte-small,outlier,AutoEncoder,0.967741935483871,0.5483870967741935,0.935483870967742,0.8064516129032258,0.32258064516129037,1.0,0.7634408602150536,0.2719388639951154
gte-small,classifier,Nearest Neighbors,0.8709677419354839,0.29032258064516125,0.45161290322580644,0.8709677419354839,0.4032258064516129,0.4166666666666667,0.5506272401433692,0.25395710139672906
gte-small,classifier,Random Forest,0.4838709677419355,0.5,0.3064516129032258,0.3548387096774194,0.6451612903225806,0.0,0.3817204301075268,0.22177663732768918
gte-small,classifier,AdaBoost,1.0,0.7096774193548387,0.7096774193548387,0.9032258064516129,0.8709677419354839,0.3666666666666667,0.7600358422939069,0.22369769736528064
gte-small,classifier,Logistic Regression,0.9032258064516129,0.935483870967742,0.4838709677419355,0.8387096774193549,0.935483870967742,0.5666666666666667,0.7772401433691757,0.20006984173834627
gte-small,classifier,Neural Network,0.967741935483871,0.7741935483870968,0.935483870967742,0.7419354838709677,0.967741935483871,0.30000000000000004,0.7811827956989248,0.25555568122976696
